ICAO,Latitude,Longitude
DNAA,9.0067901611,7.2631697655
DNAK,7.2467398643,5.3010101318
DNBE,6.3169798851,5.5995001793
DNCA,4.9760198593,8.3472003937
DNEN,6.4742698669,7.5619602203
DNGU,12.1716995239,6.6961097717
DNIB,7.3624601364,3.9783298969
DNIL,8.4402103424,4.4939198494
DNJO,9.6398296356,8.8690500259
DNKA,10.6960000992,7.3201098442
DNKN,12.0475997925,8.5246200562
DNMA,11.8552999496,13.0809001923
DNMK,7.7038798332,8.613940239
DNMM,6.5773701668,3.321160078
DNMN,9.6521701813,6.4622597694
DNPO,5.0154900551,6.9495902061
DNSO,12.9162998199,5.2071900368
DNYO,9.2575502396,12.4303998947
DNZA,11.130200386,7.6858100891
DRRM,13.5024995804,7.1267499924
DRRN,13.4814996719,2.1836099625
DRRT,14.8756999969,5.2653598785
DRZA,16.9659996033,8.0001096725
DRZD,18.9687004089,12.8687000275
DRZF,13.3729000092,12.6267004013
DRZR,13.7790002823,8.9837598801
DTMB,35.7580986023,10.754699707
DTTA,36.8510017395,10.2271995544
DTTB,37.2453994751,9.7914495468
DTTD,32.3061981201,10.3821001053
DTTF,34.422000885,8.8225002289
DTTG,33.8768997192,10.1033000946
DTTI,36.7212982178,9.9431495667
DTTJ,33.875,10.7755002975
DTTR,31.7042999268,9.2546195984
DTTX,34.7179985046,10.6909999847
DTTZ,33.9397010803,8.1105604172
DXNG,9.7673301697,1.0912499428
DXXX,6.1656098366,1.2545100451
EBAW,51.1893997192,4.4602799416
EBBE,50.7585983276,4.7683300972
EBBL,51.168301,5.47
EBBR,50.9014015198,4.4844398499
EBBX,49.8917007446,5.2238898277
EBCI,50.4592018127,4.4538202286
EBCV,50.5758018494,3.8310000896
EBFN,51.0903015137,2.652780056
EBFS,50.2433013916,4.6458301544
EBKT,50.817199707,3.2047200203
EBLG,50.6374015808,5.4432201385
EBOS,51.1988983154,2.8622200489
EBSL,50.9474983215,5.5905599594
EBST,50.7919006348,5.2016701698
EBSU,50.0344009399,5.4408102036
EBUL,51.1441993713,3.4755599499
EBWE,51.3947982788,4.9601898193
EBZR,51.264702,4.75333
EDAB,51.193611145,14.5197219849
EDAC,50.9819450378,12.5063886642
EDAD,51.831693541,12.1909618378
EDAE,52.195856,14.58753
EDAK,51.3080558777,13.5555562973
EDAM,51.3630556,11.9408333
EDAQ,51.552223,12.053889
EDAU,51.2936096191,13.3561105728
EDAX,53.306388855,12.7522220612
EDAY,52.5805549622,13.9166669846
EDAZ,52.2036094666,13.1563892365
EDBH,54.338253,12.710515
EDBJ,50.9152793884,11.7144441605
EDBK,52.918888092,12.42527771
EDBM,52.073612,11.626389
EDBR,51.3633346558,14.9499998093
EDCA,53.8327789307,13.6686105728
EDCD,51.889442,14.531944
EDCM,51.2969436646,14.1274995804
EDDB,52.3800010681,13.5225000381
EDDC,51.1328010559,13.76720047
EDDE,50.979801178,10.9581003189
EDDF,50.0333333,8.5705556
EDDG,52.134601593,7.6848301888
EDDH,53.6304016113,9.9882297516
EDDI,52.4729995728,13.4039001465
EDDK,50.8658981323,7.1427397728
EDDL,51.2895011902,6.7667798996
EDDM,48.3538017273,11.7861003876
EDDN,49.498699,11.0780556
EDDP,51.4238889,12.2363889
EDDR,49.2145996094,7.1095099449
EDDS,48.6898994446,9.2219600678
EDDT,52.5597000122,13.2876996994
EDDV,52.461101532,9.6850795746
EDDW,53.0475006104,8.7866697311
EDFE,49.9599990845,8.6458330154
EDFH,49.9486999512,7.2638897896
EDFM,49.4730567932,8.514166832
EDFQ,51.0349998474,8.6808328629
EDFV,49.606945,8.368333
EDFZ,49.967499,8.147222
EDGE,50.991604,10.47973
EDGS,50.707698822,8.0829696655
EDHI,53.5352783203,9.8355560303
EDHK,54.3794441223,10.145277977
EDHL,53.8054008484,10.7192001343
EDKV,50.405555725,6.5288891792
EDKZ,51.0999984741,7.5999999046
EDLA,51.4838905334,7.8983330727
EDLE,51.4023017883,6.9373297691
EDLI,51.9647216797,8.5444440842
EDLN,51.2302780151,6.5044441223
EDLP,51.6141014099,8.6163196564
EDLS,51.9958343506,6.8405561447
EDLW,51.5182991028,7.6122398377
EDMA,48.425278,10.931667
EDMB,48.1111106873,9.7627782822
EDME,48.3961105347,12.723610878
EDMN,48.1069450378,10.5249996185
EDMO,48.081401825,11.2831001282
EDMS,48.9008331299,12.516667366
EDMV,48.6349983215,13.195555687
EDNL,47.8588905334,10.014166832
EDNY,47.6712989807,9.5114898682
EDOP,53.426998,11.7834
EDOV,52.6288871765,11.818611145
EDPA,48.7777786255,10.2647218704
EDQD,49.9850006104,11.6400003433
EDQE,49.7941665649,11.1336107254
EDQM,50.2886123657,11.8563890457
EDQT,50.0180549622,10.5294437408
EDRK,50.3255577087,7.5286111832
EDRT,49.8638877869,6.7874999046
EDRY,49.3047218323,8.4513893127
EDRZ,49.209400177,7.4005599022
EDTD,47.9733314514,8.5222215653
EDTF,48.0227775574,7.8324999809
EDTM,48.0538902283,9.3727779388
EDTY,49.1183319092,9.7838888168
EDUS,51.607498,13.743611
EDVE,52.319199,10.5561
EDVK,51.417273,9.384967
EDVM,52.181388855,9.9463891983
EDWB,53.506943,8.572778
EDWE,53.3911094666,7.2274999619
EDWF,53.2719421387,7.4416670799
EDWI,53.5022201538,8.0522222519
EDWR,53.5963897705,6.7091670036
EDWY,53.706943512,7.2300000191
EDXF,54.7733345032,9.3788890839
EDXR,54.2200012207,9.5994443893
EDXW,54.9132003784,8.340470314
EEEI,59.2602996826,24.2084999084
EEKA,58.9907989502,22.8306999207
EEKE,58.2299003601,22.5095005035
EEPU,58.4189987183,24.4727993011
EETN,59.4132995605,24.8327999115
EETU,58.3074989319,26.6903991699
EFET,68.3626022339,23.4242992401
EFEU,61.1161003113,22.2014007568
EFHA,61.856039,24.786686
EFHF,60.2546005249,25.0428009033
EFHK,60.317199707,24.963300705
EFHM,61.6897010803,23.0736999512
EFHN,59.8488998413,23.0835990906
EFHV,60.6543998718,24.8810997009
EFIK,60.4625015259,23.6525001526
EFIM,61.2491989136,28.9036998749
EFIT,62.1661,30.073601
EFIV,68.6072998047,27.4053001404
EFJO,62.6628990173,29.6075000763
EFJY,62.3995018005,25.6783008575
EFKA,63.127102,23.051399
EFKE,65.7787017822,24.5820999146
EFKI,64.2854995728,27.6923999786
EFKJ,62.4625015259,22.3931007385
EFKK,63.7211990356,23.1431007385
EFKM,66.712898,27.156799
EFKS,65.9876022339,29.2394008636
EFKT,67.7009963989,24.8467998505
EFKU,63.0070991516,27.7978000641
EFLA,61.144199,25.693501
EFLP,61.044601,28.144743
EFMA,60.1222000122,19.8981990814
EFME,62.9467010498,23.5188999176
EFMI,61.6866,27.201799
EFNU,60.3339004517,24.2964000702
EFOU,64.9300994873,25.3546009064
EFPI,61.2456016541,22.1933994293
EFPO,61.4617004395,21.7999992371
EFPU,65.4021987915,26.9468994141
EFPY,63.7318992615,25.9263000488
EFRH,64.6881027222,24.6958007812
EFRN,62.0654983521,28.3565006256
EFRO,66.5647964478,25.8304004669
EFRY,60.7447013855,24.10779953
EFSA,61.9430999756,28.9451007843
EFSE,61.0624008179,26.7989006042
EFSO,67.3949966431,26.6191005707
EFTP,61.414100647,23.6044006348
EFTS,61.7733,24.027
EFTU,60.5140991211,22.2628002167
EFUT,60.8964004517,26.9384002686
EFVA,63.0507011414,21.7621994019
EFVR,62.1711006165,27.8686008453
EFYL,64.0547222,24.7252778
EGAA,54.6575012207,-6.2158298492
EGAB,54.3988990784,-7.6516699791
EGAC,54.6180992126,-5.8724999428
EGAE,55.0428009033,-7.1611099243
EGBB,52.4538993835,-1.7480299473
EGBE,52.3697013855,-1.4797199965
EGBG,52.60779953,-1.0319399834
EGBJ,51.8941993713,-2.1672201157
